x,y,height
5897.632999772027,45.0,-4002.6315242987625
5949.594523999093,45.0,-4271.762327595898
6001.556048226159,45.0,-3203.0056634312923
6053.5175724532255,45.0,-3469.9471618435364
6105.479096680292,45.0,-3206.986911328235
6157.440620907359,45.0,-2586.293075513485
6209.402145134424,45.0,-1899.0823239553283
6261.363669361491,45.0,-172.2962781110325
6313.325193588557,45.0,-137.14016124517582
6365.286717815624,45.0,-112.88295648160064
6417.2482420426895,45.0,-1572.6001036619582
6469.209766269756,45.0,-2209.405222611529
6521.171290496823,45.0,-2941.5510708034153
6573.132814723889,45.0,-3474.111470095403
6625.094338950955,45.0,-3872.8047818703744
6677.055863178021,45.0,-4182.607974082304
6729.017387405088,45.0,-4430.074071350025
6780.9789116321535,45.0,-4635.421674591014
6832.94043585922,45.0,-4807.062691741276
6884.901960086287,45.0,-4950.96613131734
6936.863484313353,45.0,-5073.8379161499515
6988.825008540419,45.0,-5176.596859697327
7040.786532767485,45.0,-5258.583206130192
7092.748056994552,45.0,-5324.27653834728
7144.7095812216185,45.0,-5371.633713311312
7196.671105448684,45.0,-5399.0955351206685
7248.632629675751,45.0,-5409.73976469519
7300.594153902817,45.0,-5408.354681469459
7352.555678129884,45.0,-5409.0551522800415
7404.517202356949,45.0,-5453.681757327182
7456.478726584016,45.0,-5694.286154467514
7508.4402508110825,45.0,-6388.435189580556
7560.401775038149,45.0,-2850.7487611984943
7612.363299265215,45.0,3035.8460402871456
7664.324823492281,45.0,2713.2627006582925
7716.286347719348,45.0,2828.309422880196
7768.247871946414,45.0,2822.678079200693
7820.20939617348,45.0,2767.096169645153
7872.1709204005465,45.0,2685.993077101186
7924.132444627613,45.0,2599.833663164737
7976.09396885468,45.0,2507.5223331141287
8028.055493081745,45.0,2408.1362570472393
8080.017017308812,45.0,2303.6778410541547
8131.978541535878,45.0,2193.798286481223
8183.940065762945,45.0,2078.455938689057
8235.901589990011,45.0,1958.5731043315932
8287.863114217078,45.0,1832.8066130593415
8339.824638444143,45.0,1702.8381770318658
8391.78616267121,45.0,1570.9680098779954
8443.747686898276,45.0,1440.9835984300623
8495.709211125342,45.0,1310.9782124595722
8547.670735352409,45.0,1184.7837836694107
8599.632259579475,45.0,1066.9700733508744
8651.593783806542,45.0,959.7267638225209
8703.555308033607,45.0,862.6829326716245
8755.516832260673,45.0,776.4314261076377
8807.47835648774,45.0,706.2694688933127
8859.439880714806,45.0,655.9141699891626
8911.401404941873,45.0,632.1524533211591
8963.36292916894,45.0,651.9080170499947
9015.324453396006,45.0,750.3481711952916
9067.285977623073,45.0,1066.7727577613082
